Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Zebra Apple Snail,Asolene spixi,"Spixi Snail,  Zebra Snail,  Spixi Apple Snail",Invertebrates,Easy,1.0 inches / 25 mm,1.2 inches / 30 mm,3 years,6.5 - 8.0,75 - 82 F / 24 - 28 C,4 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, algae, veggies",Sand,Moderate,Low,Moderate,5 gallons / 18 liters
Yoyo Loach,Botia almorhae,"Pakistani Loach,  Almora Loach",Loaches,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,5 - 8 years,6.0 - 7.5,72 - 82 F / 22 - 28 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Strong,Moderate,29 gallons / 109 liters
Yellow Peacock,Aulonocara baenschi,"Nkhomo Benga Peacock, Benga Peacock, New Yellow Regal Peacock, Baensch’s Peacock",African cichlids,Easy,4.0 inches / 101 mm,5.0 inches / 127 mm,6 - 10 years,7.5 - 9.0,77 - 84 F / 25 - 29 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:6,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Yellow Lab,Labidochromis caeruleus,,African cichlids,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,10 years,7.7 - 8.6,75 - 82 F / 24 - 28 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Pellets, algae, veggies, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Yellow Dwarf Cichlid,Apistogramma borellii,Apistogramma borellii,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,6 years,5.0 - 7.0,72 - 84 F / 22 - 29 C,0 - 12 dGH,Bottom,Semi aggressive,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Live, frozen",Any,Low,Low,High,10 gallons / 37 liters
Yellow Convict Cichlid,Cryptoheros nanoluteus,,American cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,8 - 10 years,5.0 - 7.5,73 - 79 F / 23 - 26 C,10 - 20 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Yellow Acara,Aequidens metae,,American cichlids,Moderate,5.0 inches / 127 mm,6.0 inches / 152 mm,12 years,5.5 - 7.0,74 - 84 F / 23 - 29 C,6 - 12 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Low,Moderate,29 gallons / 109 liters
Wolf Fish,Hoplias malabaricus,,Monster,Moderate,20.0 inches / 508 mm,28.0 inches / 711 mm,10 - 20 years,6.5 - 8.0,72 - 77 F / 22 - 25 C,3 - 18 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,150 gallons / 567 liters
Wolf Cichlid,Parachromis dovii,,American cichlids,Moderate,28.0 inches / 711 mm,28.0 inches / 711 mm,30 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,125 gallons / 473 liters
White-Spotted Cichlid,Tropheus duboisi,,African cichlids,Moderate,4.8 inches / 121 mm,4.8 inches / 121 mm,5 - 8 years,8.0 - 9.5,73 - 81 F / 23 - 27 C,8 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,12+,1:6,Yes,Omnivore,"Flakes, pellets, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Whiteseam Fighter,Betta albimarginata,,Bettas,Moderate,2.0 inches / 50 mm,2.0 inches / 50 mm,2 - 3 years,6.0 - 7.5,71 - 79 F / 22 - 26 C,4 - 16 dGH,Mid,Peaceful,Peaceful,Peaceful,1,2:1,Yes,Carnivore,"Flakes, pellets, live, frozen",Any,Moderate,Low,Moderate,5 gallons / 18 liters
White Cloud Mountain Minnow,Tanichthys albonubes,,Danios,Easy,1.5 inches / 38 mm,2.0 inches / 50 mm,5 - 7 years,6.0 - 8.5,57 - 72 F / 14 - 22 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,10+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
White Cheeked Goby,Rhinogobius duospilus,,Misc,Moderate,1.75 inches / 44 mm,2.0 inches / 50 mm,5 - 8 years,7.0 - 8.0,59 - 77 F / 15 - 25 C,6 - 16 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Whisker Shrimp,Macrobrachium sp.,,Invertebrates,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,1 - 2 years,7.0 - 7.8,72 - 82 F / 22 - 28 C,1 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, veggies",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Western Rainbowfish,Melanotaenia australis,,Rainbowfish,Easy,4.0 inches / 101 mm,4.8 inches / 121 mm,5 years,6.5 - 8.0,72 - 82 F / 22 - 28 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
West African Bichir,Polypterus retropinnis,,Bichir,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,10 - 15 years,6.0 - 8.0,77 - 82 F / 25 - 28 C,5 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,75 gallons / 283 liters
Weeksii Bichir,Polypterus weeksii,Mottled Bichir,Bichir,Moderate,22.0 inches / 558 mm,22.0 inches / 558 mm,10 - 15 years,6.5 - 7.5,77 - 83 F / 25 - 28 C,1 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Wallago leerii,Wallago leeri,Striped Wallago Catfish,Monster,Difficult,80.0 inches / 2032 mm,80.0 inches / 2032 mm,5 - 15 years,6.0 - 7.0,72 - 78 F / 22 - 26 C,1 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Any,Moderate,Moderate,None,1000 gallons / 3785 liters
Walking Catfish,Clarias batrachus,Clarias Catfish,Misc catfish,Moderate,20.0 inches / 508 mm,24.0 inches / 609 mm,25 years,5.6 - 8.0,68 - 82 F / 20 - 28 C,8 - 20 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Any,180 gallons / 681 liters
Waigeo Rainbowfish,Melanotaenia catherinae,,Rainbowfish,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 years,6.0 - 8.5,72 - 82 F / 22 - 28 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Vieja fenestrata,Vieja fenestrata,,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,8 years,7.0 - 8.4,73 - 86 F / 23 - 30 C,5 - 20 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, algae, veggies",Sand,Moderate,Moderate,Low,55 gallons / 208 liters
Venustus,Nimbochromis venustus,Giraffe Cichlid,African cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:2,Yes,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Vampire Shrimp,Atya gabonensis,"African Fan Shrimp,  Giant African Fan Shrimp,  African Filter Shrimp,  Giant African Filter Shrimp,  Gabon Shrimp,  Viper Shrimp,  Cameroon Shrimp",Invertebrates,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,3 - 5 years,6.5 - 7.5,75 - 85 F / 24 - 29 C,6 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, algae",Sand,Moderate,Moderate,High,15 gallons / 56 liters
Two Line Cory,Corydoras parallelus,,Cory,Easy,2.4 inches / 60 mm,2.4 inches / 60 mm,5 years,6.0 - 7.5,72 - 79 F / 22 - 26 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Uaru Cichlid,Uaru amphiacanthoides,,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,10 years,5.0 - 7.0,79 - 86 F / 26 - 30 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Upside Down Catfish,Synodontis nigriventris,,Synos,Easy,4.0 inches / 101 mm,4.0 inches / 101 mm,5 years,6.0 - 7.5,75 - 82 F / 24 - 28 C,5 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,20 gallons / 75 liters
Tramitichromis Intermedius,Tramitichromis sp. Intermedius,,African cichlids,Moderate,6.4 inches / 162 mm,6.4 inches / 162 mm,5 - 10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Trewavas’ Cichlid,Labeotropheus trewavasae,"Red-finned Cichlid,  Redtop Mbuna",African cichlids,Moderate,4.5 inches / 114 mm,4.5 inches / 114 mm,12 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,No,Omnivore,"Veggies, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Trimac,Cichlasoma trimaculatum,Three Spot Cichlid,American cichlids,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,8 - 12 years,6.5 - 7.5,74 - 86 F / 23 - 30 C,10 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Sand,Moderate,Low,Moderate,75 gallons / 283 liters
Tropheus Moorii,Tropheus moorii,,African cichlids,Moderate,5.8 inches / 147 mm,5.8 inches / 147 mm,5 - 8 years,8.0 - 9.5,73 - 81 F / 23 - 27 C,8 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,12+,1:6,Yes,Omnivore,"Flakes, pellets, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Tropical Gar,Atractosteus tropicus,,Monster,Moderate,48.0 inches / 1219 mm,48.0 inches / 1219 mm,12 - 25 years,6.0 - 8.5,71 - 82 F / 22 - 28 C,5 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Low,1000 gallons / 3785 liters
Turquoise Rainbowfish,Melanotaenia lacustris,Lake Kutubu Rainbowfish,Rainbowfish,Easy,4.0 inches / 101 mm,4.8 inches / 121 mm,5 - 8 years,7.0 - 9.0,68 - 77 F / 20 - 25 C,10 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Twig Catfish,Farlowella vittata,,Misc catfish,Difficult,6.0 inches / 152 mm,6.0 inches / 152 mm,15 years,6.0 - 7.0,75 - 80 F / 24 - 27 C,3 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Herbivore,"Algae, veggies",Any,Low,Moderate,Moderate,20 gallons / 75 liters
Tiger Danio,Devario maetaengensis,,Danios,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 - 4 years,6.4 - 7.0,72 - 81 F / 22 - 27 C,3 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Tiger Loach,Syncrossus hymenophysa,,Loaches,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,5 - 8 years,6.5 - 7.5,72 - 81 F / 22 - 27 C,5 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Tiger Pleco L002,Peckoltia vittata L002,,Plecos,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 - 10 years,6.5 - 7.5,72 - 79 F / 22 - 26 C,8 - 12 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Tiger Shovelnose Catfish,Platystoma tigrinum,,Monster,Moderate,39.0 inches / 990 mm,42.0 inches / 1066 mm,15 - 25 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Pellets, live, frozen",None,Low,Moderate,Moderate,250 gallons / 946 liters
Tiger Shrimp,Caridina cantonensis sp. Tiger,Tupfel Shrimp,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,6.0 - 7.6,64 - 80 F / 18 - 27 C,4 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Tigrinus Catfish,Brachyplatystoma tigrinum,,Monster,Moderate,20.0 inches / 508 mm,24.0 inches / 609 mm,12 - 25 years,6.0 - 7.6,72 - 89 F / 22 - 32 C,1 - 12 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Any,Moderate,Strong,Low,150 gallons / 567 liters
Tinfoil Barb,Barbonymus schwanefeldii,"Goldfoil Barb,  Schwanefeld’s Barb,  River Barb",Barbs,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,8 - 10 years,6.0 - 8.0,68 - 82 F / 20 - 28 C,2 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Strong,Low,125 gallons / 473 liters
Tire Track Eel,Mastacembelus armatus,,Eels,Moderate,36.0 inches / 914 mm,36.0 inches / 914 mm,5 - 10 years,6.0 - 7.5,72 - 82 F / 22 - 28 C,5 - 18 dGH,Bottom,Semi aggressive,Aggressive,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,High,125 gallons / 473 liters
Tami River Rainbowfish,Glossolepis pseudoincisus,,Rainbowfish,Easy,3.0 inches / 76 mm,4.0 inches / 101 mm,5 - 8 years,6.5 - 8.5,70 - 79 F / 21 - 26 C,9 - 19 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Tandanus Catfish,Tandanus Tandanus,Dewfish,Monster,Moderate,30.0 inches / 762 mm,33.0 inches / 838 mm,3 - 4 years,7.4 - 7.5,59 - 77 F / 15 - 25 C,8 - 20 dGH,Bottom,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Tanganyikan Butterfly,Xenotilapia papilio,,African cichlids,Difficult,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 8 years,7.5 - 9.0,75 - 82 F / 24 - 28 C,10 - 25 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Teacup Stingray,Potamotrygon scobina,,Monster,Difficult,14.0 inches / 355 mm,14.0 inches / 355 mm,20 years,6.0 - 7.0,76 - 82 F / 24 - 28 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Aggressive,Any,1:1,No,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,125 gallons / 473 liters
Tequila Splitfin,Zoogoneticus tequila,,Livebearer,Moderate,2.5 inches / 63 mm,3.2 inches / 81 mm,3 - 5 years,6.5 - 7.5,68 - 75 F / 20 - 24 C,10 - 12 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, live, frozen, veggies",Any,Moderate,Moderate,High,10 gallons / 37 liters
Texas Cichlid,Herichthys cyanoguttatus,,American cichlids,Difficult,12.0 inches / 304 mm,12.0 inches / 304 mm,15 years,6.5 - 8.0,68 - 75 F / 20 - 24 C,5 - 15 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Any,75 gallons / 283 liters
The Pearl Eartheater,Geophagus brasiliensis,,American cichlids,Easy,10.0 inches / 254 mm,11.0 inches / 279 mm,10 - 15 years,6.0 - 8.0,68 - 82 F / 20 - 28 C,1 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Thinbar Datnoid,Datnioides undecimradiatus,,Datnoid,Moderate,15.0 inches / 381 mm,15.0 inches / 381 mm,10 years,6.3 - 7.2,73 - 81 F / 23 - 27 C,5 - 17 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Any,125 gallons / 473 liters
Threadfin Acara,Acarichthys heckelii,"Thread-finned Cichlid,  Threadfin Geophagus",American cichlids,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,6 - 8 years,6.0 - 8.0,75 - 86 F / 24 - 30 C,4 - 12 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,No,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Tiger Barb,Puntius tetrazona,"Albino Tiger Barb,  Green Tiger Barb,  Glo Tiger Barb",Barbs,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 7 years,5.0 - 8.0,68 - 79 F / 20 - 26 C,1 - 20 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Sulphur-headed Hap,Otopharynx lithobates,,African cichlids,Moderate,6.4 inches / 162 mm,6.4 inches / 162 mm,5 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:2,Yes,Omnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Sumo Loach,Schistura balteata,,Loaches,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,3 - 5 years,6.5 - 7.5,71 - 79 F / 22 - 26 C,2 - 12 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Strong,Moderate,20 gallons / 75 liters
Variatus Platy,Xiphophorus variatus,,Livebearer,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 - 5 years,7.0 - 8.2,64 - 77 F / 18 - 25 C,10 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen, fry_food",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Sunshine Peacock,Aulonocara stuartgranti maleri,"Orange Peacock,  Yellow Regal Peacock",African cichlids,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,6 - 10 years,7.5 - 9.0,73 - 84 F / 23 - 29 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:4,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Swordtail,Xiphophorus hellerii,,Livebearer,Easy,4.0 inches / 101 mm,6.0 inches / 152 mm,3 - 5 years,7.0 - 8.0,64 - 82 F / 18 - 28 C,10 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Tail Spot Pygmy Cory,Corydoras hastatus,"Dainty Cory,  Dwarf Cory",Cory,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,5 years,6.0 - 7.5,68 - 79 F / 20 - 26 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Tailbar Cichlid,Vieja hartwegi,,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,8 years,7.0 - 8.0,75 - 82 F / 24 - 28 C,12 - 21 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, algae, veggies",Sand,Moderate,Moderate,Low,55 gallons / 208 liters
Taiwan Reef,Protomelas sp. Steveni,,African cichlids,Moderate,6.0 inches / 152 mm,8.0 inches / 203 mm,5 years,7.7 - 8.6,73 - 82 F / 23 - 28 C,5 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:3,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Spotted Scat,Scatophagus argus,,Brackish,Difficult,12.0 inches / 304 mm,15.0 inches / 381 mm,10 - 20 years,7.5 - 8.5,68 - 82 F / 20 - 28 C,12 - 18 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,4+,1:1,Yes,Omnivore,"Flakes, veggies, live, frozen",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Steindachner Dwarf Cichlid,Apistogramma steindachneri,,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,6 years,5.0 - 7.0,72 - 84 F / 22 - 29 C,0 - 12 dGH,Bottom,Semi aggressive,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Live, frozen",Any,Low,Low,High,10 gallons / 37 liters
